Date,Nimmo,Baty,Lindor,Senger,Winker,Soto,Torrens,Acuna,Vientos,Alonso,Marte,Taylor
3/26/2025,0,0,0,0,0,0,0,0,0,0,0,0
3/27/2025,0,0,-0.1,0,0,0.1,0.1,0,0,0.1,0,0
3/28/2025,-0.1,0,-0.1,0,0,0.2,0.1,0,0,0.1,0,-0.1
3/29/2025,-0.1,-0.1,-0.2,0,0,0.3,0.1,0,-0.1,0,0,-0.1
3/30/2025,-0.1,-0.1,-0.2,0,0,0.3,0.1,0,-0.1,0,0,-0.1
3/31/2025,0,-0.1,-0.2,0,0,0.3,0.3,0,-0.1,0.2,0.2,-0.2
4/1/2025,0.1,-0.1,-0.1,0,-0.1,0.3,0.3,0,-0.2,0.1,0.2,-0.2
4/2/2025,0.1,-0.2,-0.2,0.1,-0.1,0.2,0.3,0,-0.3,0.4,0.2,-0.2
4/3/2025,0.1,-0.2,-0.2,0.1,-0.1,0.2,0.3,0,-0.3,0.4,0.2,-0.2
4/4/2025,0.1,-0.2,0,0.1,-0.1,0.3,0.3,-0.1,-0.4,0.5,0.1,-0.2
4/5/2025,0,-0.2,0.1,0,0.2,0.3,0.3,-0.1,-0.4,0.4,0.1,-0.2
4/6/2025,0,-0.3,0.1,0.1,0.1,0.3,0.3,-0.1,-0.3,0.5,0,-0.2
4/7/2025,-0.1,-0.3,0.2,0.1,0,0.5,0.3,-0.1,-0.3,0.6,0,-0.2
4/8/2025,0,-0.3,0.3,0.2,0,0.5,0.3,0,-0.3,0.8,0.2,-0.3
4/9/2025,-0.1,-0.3,0.3,0.1,0,0.5,0.3,0,-0.3,0.8,0.1,-0.4
4/10/2025,-0.1,-0.3,0.3,0.1,0,0.5,0.3,0,-0.3,0.8,0.1,-0.4
4/11/2025,0,-0.3,0.3,0.1,0,0.5,0.3,0.1,-0.4,1.1,0.1,-0.4
4/12/2025,0.1,-0.3,0.2,0.2,0,0.5,0.3,0.1,-0.4,1,0,-0.4
4/13/2025,0.2,-0.3,0.4,0.2,0,0.5,0.5,0.1,-0.4,0.9,0,-0.4
4/14/2025,0.2,-0.3,0.4,0.2,0,0.5,0.5,0.1,-0.4,0.9,0,-0.4
4/15/2025,0,-0.3,0.2,0.2,-0.2,0.5,0.4,0.3,-0.5,1.2,-0.1,-0.4
4/16/2025,0,-0.2,0.3,0.2,-0.1,0.4,0.4,0.3,-0.5,1.3,-0.1,-0.4
4/17/2025,0,-0.1,0.4,0.2,-0.1,0.3,0.3,0.3,-0.4,1.2,-0.1,-0.4
4/18/2025,0,0,0.5,0.3,-0.2,0.4,0.3,0.3,-0.2,1.4,-0.1,-0.3
4/19/2025,-0.1,0,0.4,0.3,-0.2,0.4,0.3,0.3,-0.3,1.6,-0.1,-0.3
4/20/2025,-0.1,0,0.6,0.2,-0.2,0.6,0.3,0.4,-0.3,1.5,-0.1,-0.3
4/21/2025,-0.1,0,1,0.2,-0.1,0.4,0.3,0.4,-0.3,1.5,-0.1,-0.2
